Ridership_sum,M_CB_Count,M_CR_Count,M_DR_Count,M_MB_Count,M_VP_Count,M_LR_Count,M_OTHER_Count,OT_A_Count,OT_B_Count,OT_C_Count,OT_D_Count,OT_E_Count,OT_F_Count,OT_G_Count,OT_H_Count,OT_I_Count,OT_J_Count,OT_OTHER_Count,ToS_DO_Count,ToS_PT_Count,ToS_TN_Count,ToS_TX_Count,P_UZA_SM_National,P_UZA_P_National,SA_SM_National,SA_P_National,Safety Risk Ratio
808103664,100,23,523.0,471.0,73,23,52,645.0,461.0,22,17,18,28,16,21,9,14,14,690.0,502.0,0,73,76481.0,202972229.0,139017.0,139017.0,0.41041000595913496
788740957,100,23,523.0,471.0,72,23,52,644.0,461.0,22,17,18,28,16,21,9,14,14,689.0,502.0,0,73,76481.0,202972229.0,139017.0,139017.0,0.4627631373244879
888517154,100,23,522.0,471.0,72,23,52,643.0,461.0,22,17,18,28,16,21,9,14,14,689.0,502.0,0,72,76481.0,202972229.0,139017.0,139017.0,0.43941634725050566
895729521,100,23,522.0,471.0,72,23,52,643.0,461.0,22,17,18,28,16,21,9,14,14,689.0,502.0,0,72,76481.0,202972229.0,137849.0,137849.0,0.3847908470981068
898413957,101,24,521.0,471.0,72,23,53,644.0,462.0,22,17,18,28,16,21,9,14,14,689.0,504.0,0,72,76481.0,202972229.0,137469.0,137469.0,0.4696930611945662
848880074,101,24,520.0,471.0,72,23,53,644.0,461.0,22,17,18,28,16,21,9,14,14,689.0,504.0,0,71,76481.0,202972229.0,137469.0,137469.0,0.45556566825671935
859485606,102,24,517.0,468.0,74,23,54,642.0,457.0,22,18,18,25,16,21,12,17,14,687.0,504.0,0,71,75913.0,202236682.0,140633.0,140633.0,0.4212644187057217
860929391,102,24,517.0,468.0,74,23,55,643.0,457.0,22,18,18,25,16,21,12,17,14,688.0,504.0,0,71,75913.0,202236682.0,140633.0,140633.0,0.44033839985187717
905885905,102,24,516.0,467.0,73,23,55,642.0,457.0,20,18,18,25,16,21,12,17,14,685.0,504.0,0,71,75884.0,202172999.0,139936.0,139936.0,0.43040503177280454
961477117,105,24,520.0,467.0,73,23,55,644.0,461.0,20,19,19,25,16,21,12,17,13,684.0,512.0,0,71,75993.0,202157134.0,159079.0,159079.0,0.4521067158889286
