Ridership_sum,P_UZA_SM_avg,P_UZA_P_avg,SA_SM_avg,SA_P_avg,M_CB_Count,M_CR_Count,M_DR_Count,M_MB_Count,M_VP_Count,M_LR_Count,M_OTHER_Count,OT_A_Count,OT_B_Count,OT_C_Count,OT_D_Count,OT_E_Count,OT_F_Count,OT_G_Count,OT_H_Count,OT_I_Count,OT_J_Count,OT_OTHER_Count,ToS_DO_Count,ToS_PT_Count,ToS_TN_Count,ToS_TX_Count,Safety Risk Ratio
23279,131.0,213751.0,131.0,218590.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
22805,131.0,213751.0,131.0,218590.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
26917,131.0,213751.0,131.0,218590.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
31941,131.0,213751.0,131.0,218590.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
30483,131.0,213751.0,131.0,218590.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3.1273455091318487
29458,131.0,213751.0,131.0,218590.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
529835,325.0,569499.0,448.8,389692.0,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.0
591995,325.0,569499.0,448.8,389692.0,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.0
608502,325.0,569499.0,448.8,389692.0,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.0
647271,325.0,569499.0,448.8,389692.0,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.3116886355206603
547613,325.0,569499.0,448.8,389692.0,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.0
482846,325.0,569499.0,448.8,389692.0,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.8717210213780863
497078,325.0,569499.0,448.8,389692.0,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.0
552375,325.0,569499.0,448.8,389692.0,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.5039010338369544
688247,325.0,569499.0,448.8,389692.0,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.5905523436069756
721409,325.0,569499.0,448.8,389692.0,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.441001367104238
588457,325.0,569499.0,448.8,389692.0,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.0
529974,325.0,569499.0,448.8,389692.0,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.0
554707,325.0,569499.0,448.8,389692.0,1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.3339957582538702
