Fatalities_sum,Injuries_sum,Events_sum,VRM_sum,Ridership_sum,OT_A_Count,OT_B_Count,OT_C_Count,OT_D_Count,OT_E_Count,OT_F_Count,OT_G_Count,OT_H_Count,OT_I_Count,OT_J_Count,OT_OTHER_Count,ToS_DO_Count,ToS_PT_Count,ToS_TN_Count,ToS_TX_Count,P_UZA_SM_National,P_UZA_P_National,SA_SM_National,SA_P_National,M_CB,M_CR,M_DR,M_LR,M_MB,M_OTHER,M_VP,Safety Ratio
2,40,6,9799029,7382751,51.0,24,1,3,1,2,0,17,0,0,1,51.0,49,0,0,31986.0,101772572.0,46008.0,46075628.0,1,0,0,0,0,0,0,0.4898444529554918
0,0,0,25284,496750,0.0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,0,524.0,3281212.0,49.0,836620.0,0,0,0,0,0,1,0,0.0
0,0,0,28062564,38598567,16.0,0,0,3,1,3,0,0,0,0,0,7.0,16,0,0,21665.0,82327534.0,24561.0,63764271.0,0,1,0,0,0,0,0,0.0
0,76,52,59090140,7910270,261.0,217,10,3,5,8,10,0,2,2,5,220.0,230,0,73,75865.0,201468911.0,126347.0,116462306.0,0,0,1,0,0,0,0,0.21661820398462417
5,31,45,55530393,300475967,11.0,1,0,2,0,1,0,0,0,0,0,14.0,1,0,0,19569.0,72751547.0,11010.0,40163978.0,0,0,0,0,0,1,0,0.14586606653405101
5,19,29,8626396,38305451,16.0,2,0,1,3,1,0,0,0,0,0,21.0,2,0,0,22114.0,80454272.0,23143.0,64696485.0,0,0,0,1,0,0,0,0.6143933109493235
8,603,382,145920413,393561324,228.0,195,5,5,5,12,3,3,6,2,7,306.0,165,0,0,75729.0,201830491.0,122016.0,119566616.0,0,0,0,0,1,0,0,0.6805079423671861
0,0,0,438128,1941081,2.0,2,0,0,0,0,1,0,1,0,0,4.0,2,0,0,4570.0,15317442.0,1484.0,5914802.0,0,0,0,0,0,1,0,0.0
0,10,5,626495,4159101,7.0,0,0,0,0,1,0,0,0,0,0,7.0,1,0,0,9611.0,41627348.0,9168.0,27725437.0,0,0,0,0,0,1,0,2.3942728992250535
0,6,5,497193,3693412,5.0,5,0,0,0,0,1,0,0,0,0,9.0,2,0,0,7832.0,23710948.0,3328.0,9021888.0,0,0,0,0,0,1,0,2.2124205288489582
0,11,6,928143,7757116,3.0,2,0,0,0,0,0,0,0,0,0,5.0,0,0,0,5739.0,16687282.0,6537.0,10955025.0,0,0,0,0,0,1,0,1.8316143094329214
0,0,0,2568,136649,0.0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,524.0,1849898.0,11.0,72832.0,0,0,0,0,0,1,0,0.0
